Index,,ISO3 Alpha-code,Subregion,Region,Continent,"More developed regions
901","Less developed regions
902","Least developed countries
941","Less developed regions, excluding least developed countries
934","Less developed regions, excluding China
948","Land-Locked Developing Countries (LLDC)
1636","Small Island Developing States (SIDS)
1637","High-income Countries
1503","Middle-income Countries
1517","Upper-middle-income Countries
1502","Lower-middle-income Countries
1501","Low-income Countries
1500","No income group available
1518",Max(HIV) for males,Max(HIV) for females,Max(HIV) for both sexes,Year for max(HIV) for both sexes,Estimates of mortality age pattern,Projection of life expectancy at birth
255,Sweden,SWE,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
256,United Kingdom,GBR,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
257,Southern Europe,   ,,,,,,,,,,,,,,,,,,,,,,
258,Albania,ALB,Southern Europe,Europe,Europe,901,,,,,,,,1517,1502,,,,0.11,0.05,0.08,2017,,
259,Andorra,AND,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
260,Bosnia and Herzegovina,BIH,Southern Europe,Europe,Europe,901,,,,,,,,1517,1502,,,,,,,,,
261,Croatia,HRV,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
262,Gibraltar,GIB,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
263,Greece,GRC,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.34,0.08,0.21,2017,,
264,Holy See,VAT,Southern Europe,Europe,Europe,901,,,,,,,,,,,,1518,,,,,,
265,Italy,ITA,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.39,0.18,0.28,2005,,
266,Malta,MLT,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
267,Montenegro,MNE,Southern Europe,Europe,Europe,901,,,,,,,,1517,1502,,,,0.09,0.04,0.07,2017,,
268,North Macedonia,MKD,Southern Europe,Europe,Europe,901,,,,,1636,,,1517,1502,,,,0.05,0.01,0.03,2017,,
269,Portugal,PRT,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.88,0.35,0.61,2008,,
270,San Marino,SMR,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
271,Serbia,SRB,Southern Europe,Europe,Europe,901,,,,,,,,1517,1502,,,,0.07,0.03,0.05,2017,,
272,Slovenia,SVN,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.14,0.02,0.08,2017,,
273,Spain,ESP,Southern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.66,0.21,0.44,2013,,
274,Western Europe,   ,,,,,,,,,,,,,,,,,,,,,,
275,Austria,AUT,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.18,0.06,0.12,2016,,
276,Belgium,BEL,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
277,France,FRA,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.61,0.32,0.46,2015,,
278,Germany,DEU,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.22,0.09,0.16,2017,,
279,Liechtenstein,LIE,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
280,Luxembourg,LUX,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.41,0.12,0.27,2017,,
281,Monaco,MCO,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
282,Netherlands,NLD,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.32,0.08,0.20,2013,,
283,Switzerland,CHE,Western Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
284,NORTHERN AMERICA,   ,,,,,,,,,,,,,,,,,,,,,,
285,Bermuda,BMU,North America,North America,Northern America,901,,,,,,1637,1503,,,,,,,,,,,
286,Canada,CAN,North America,North America,Northern America,901,,,,,,,1503,,,,,,,,,,,
287,Greenland,GRL,North America,North America,Northern America,901,,,,,,,1503,,,,,,,,,,,
288,Saint Pierre and Miquelon,SPM,North America,North America,Northern America,901,,,,,,,,,,,,1518,,,,,,
289,United States of America,USA,North America,North America,Northern America,901,,,,,,,1503,,,,,,,,,,,
